Start	End	Direction	Weight
ATF1	BACH1	0	1
ATF2	BACH1	0	1
ATF7	BACH1	0	1
ATF7	BACH2	0	1
AKT1	BAD	0	1
AR	BAG1	0	1
ANXA7	BAG6	0	1
ARPC3	BAG6	0	1
ATN1	BAG6	0	1
ATXN2	BAG6	0	1
B2M	BAG6	0	1
ATN1	BAIAP2	0	1
ARHGDIA	BAK1	0	1
ANKRD17	BAP1	0	1
ASXL1	BAP1	0	1
ASXL2	BAP1	0	1
BACH1	BARD1	0	1
ATF2	BATF	0	1
ATF4	BATF	0	1
ATF5	BATF	0	1
ATXN1	BATF2	0	1
ATF2	BATF3	0	1
ATF3	BATF3	0	1
ATF4	BATF3	0	1
ATF5	BATF3	0	1
ATF7	BATF3	0	1
BATF	BATF3	0	1
BAK1	BAX	0	1
ABL1	BAZ2A	0	1
ARHGAP32	BCAR1	0	1
AP2A1	BCL11B	0	1
BAD	BCL2	0	1
BAG1	BCL2	0	1
BAG3	BCL2	0	1
BAK1	BCL2	0	1
BAX	BCL2	0	1
BBC3	BCL2	0	1
BAD	BCL2A1	0	1
BAX	BCL2A1	0	1
BBC3	BCL2A1	0	1
ACTB	BCL2L1	0	1
APAF1	BCL2L1	0	1
BAD	BCL2L1	0	1
BAK1	BCL2L1	0	1
BAX	BCL2L1	0	1
BBC3	BCL2L1	0	1
BCL2	BCL2L1	0	1
APAF1	BCL2L10	0	1
BAD	BCL2L10	0	1
BAX	BCL2L11	0	1
BCL2	BCL2L11	0	1
BCL2A1	BCL2L11	0	1
BCL2L1	BCL2L11	0	1
BAD	BCL2L2	0	1
BAX	BCL2L2	0	1
BBC3	BCL2L2	0	1
BCL2L11	BCL2L2	0	1
BCL6	BCL6B	0	1
BCL6	BCOR	0	1
ABL1	BCR	0	1
AMBRA1	BECN1	0	1
ATG14	BECN1	0	1
BCL2	BECN1	0	1
BCL2L1	BECN1	0	1
ABLIM1	BEGAIN	0	1
BAHD1	BEGAIN	0	1
ATXN1	BEND2	0	1
ARNTL	BHLHE40	0	1
BAK1	BID	0	1
BCL2	BID	0	1
BCL2A1	BID	0	1
BCL2L1	BID	0	1
BCL2L2	BID	0	1
BCL2	BIK	0	1
BCL2A1	BIK	0	1
BCL2L1	BIK	0	1
BCL2L2	BIK	0	1
BCL10	BIRC2	0	1
BCL10	BIRC3	0	1
AURKB	BIRC5	0	1
BCL2	BMF	0	1
BCL2L1	BMF	0	1
