Start	End	Direction	Weight
CCNH	CDK7	0	1
CCNC	CDK8	0	1
AFF1	CDK9	0	1
AFF4	CDK9	0	1
BRD4	CDK9	0	1
CCNT1	CDK9	0	1
CCNT2	CDK9	0	1
CCNA1	CDKN1A	0	1
CCNA2	CDKN1A	0	1
CCNB1	CDKN1A	0	1
CCND1	CDKN1A	0	1
CCNE1	CDKN1A	0	1
CDK2	CDKN1A	0	1
CDK4	CDKN1A	0	1
CCNA2	CDKN1B	0	1
CCND1	CDKN1B	0	1
CCND3	CDKN1B	0	1
CCNE1	CDKN1B	0	1
CDK2	CDKN1B	0	1
CDK4	CDKN1B	0	1
CDK4	CDKN2A	0	1
CDK6	CDKN2A	0	1
CDK4	CDKN2C	0	1
CDK6	CDKN2C	0	1
CDK1	CDKN3	0	1
CCNA1	CDT1	0	1
CDC6	CDT1	0	1
ACTA1	CFL1	0	1
ARRB1	CFL1	0	1
ARRB2	CFL1	0	1
CASP10	CFLAR	0	1
CASP3	CFLAR	0	1
CASP8	CFLAR	0	1
AMFR	CFTR	0	1
CANX	CFTR	0	1
ASF1B	CHAF1A	0	1
CBX5	CHAF1A	0	1
ASF1A	CHAF1B	0	1
ASF1B	CHAF1B	0	1
CBX5	CHAF1B	0	1
CDC25A	CHEK1	0	1
BRCA1	CHEK2	0	1
AURKA	CHFR	0	1
AKT1	CHUK	0	1
ARRB2	CHUK	0	1
CDC37	CHUK	0	1
CDKN1B	CKS1B	0	1
ATR	CLK2	0	1
BTRC	CLSPN	0	1
CHEK1	CLSPN	0	1
APBA2	CLSTN1	0	1
APP	CLSTN1	0	1
CNTF	CNTFR	0	1
CHUK	CNTN2	0	1
ATXN1	COIL	0	1
ARCN1	COPB1	0	1
ARF1	COPB1	0	1
COPB1	COPG	0	1
COPS2	COPS3	0	1
COPS3	COPS4	0	1
CDKN1B	COPS5	0	1
COPS2	COPS5	0	1
COPS3	COPS5	0	1
COPS4	COPS5	0	1
COPS3	COPS6	0	1
COPS5	COPS6	0	1
COPS5	COPS7A	0	1
COPS5	COPS7B	0	1
COPS3	COPS8	0	1
COPS5	COPS8	0	1
ALOX5	COTL1	0	1
CD19	CR2	0	1
CASP2	CRADD	0	1
AR	CREBBP	0	1
ATF2	CREBBP	0	1
ATXN3	CREBBP	0	1
BRCA1	CREBBP	0	1
CDKN1A	CREBBP	0	1
CHUK	CREBBP	0	1
CREB1	CREBBP	0	1
ABL1	CRK	0	1
ABL2	CRK	0	1
ARHGAP32	CRK	0	1
BCAR1	CRK	0	1
CBL	CRK	0	1
ABL1	CRKL	0	1
BCAR1	CRKL	0	1
BCR	CRKL	0	1
CBL	CRKL	0	1
ATXN7	CRX	0	1
CBL	CSF1R	0	1
CBL	CSK	0	1
CHEK1	CSNK2A1	0	1
CREBBP	CSNK2A1	0	1
CREBBP	CSNK2A2	0	1
CSNK2A1	CSNK2B	0	1
BARD1	CSTF1	0	1
BARD1	CSTF2	0	1
BRCA1	CSTF2	0	1
CPSF2	CSTF2	0	1
APC	CTBP1	0	1
CBX4	CTBP1	0	1
CREBBP	CTBP1	0	1
APC	CTNNA1	0	1
CDH1	CTNNA1	0	1
CDH2	CTNNA1	0	1
CDH3	CTNNA1	0	1
CDH5	CTNNA1	0	1
APC	CTNNB1	0	1
APC2	CTNNB1	0	1
AR	CTNNB1	0	1
ASH2L	CTNNB1	0	1
AXIN1	CTNNB1	0	1
BCL9	CTNNB1	0	1
BTRC	CTNNB1	0	1
CBY1	CTNNB1	0	1
CDH1	CTNNB1	0	1
CDH2	CTNNB1	0	1
CDH3	CTNNB1	0	1
CDH5	CTNNB1	0	1
CREBBP	CTNNB1	0	1
CTNNA1	CTNNB1	0	1
CTNNB1	CTNNBIP1	0	1
CDH1	CTNND1	0	1
CDH2	CTNND1	0	1
CDH5	CTNND1	0	1
CTNNB1	CTNND1	0	1
CDC73	CTR9	0	1
ACTR3	CTTN	0	1
BTRC	CUL1	0	1
CAND1	CUL1	0	1
CCND1	CUL1	0	1
CDC25A	CUL1	0	1
CDC34	CUL1	0	1
COMMD1	CUL1	0	1
COPS2	CUL1	0	1
COPS5	CUL1	0	1
CAND1	CUL2	0	1
COMMD1	CUL2	0	1
COPS5	CUL2	0	1
CCNE1	CUL3	0	1
COPS5	CUL3	0	1
CAND1	CUL4A	0	1
CDKN1B	CUL4A	0	1
COPS3	CUL4A	0	1
COPS5	CUL4A	0	1
COPS6	CUL4A	0	1
CRBN	CUL4A	0	1
CAND1	CUL4B	0	1
COPS5	CUL4B	0	1
CUL4A	CUL4B	0	1
ASB2	CUL5	0	1
CCR5	CXCR4	0	1
ASH2L	CXXC1	0	1
APAF1	CYCS	0	1
COX4I2	CYCS	0	1
ATRX	DAXX	0	1
CUL4A	DCAF11	0	1
CUL4A	DCAF4	0	1
CUL4A	DCAF5	0	1
CUL4A	DCAF6	0	1
DCP1A	DCP1B	0	1
DCP1A	DCP2	0	1
CUL4A	DDA1	0	1
AMBRA1	DDB1	0	1
CDKN1A	DDB1	0	1
COPS2	DDB1	0	1
COPS3	DDB1	0	1
COPS4	DDB1	0	1
COPS5	DDB1	0	1
COPS6	DDB1	0	1
COPS7A	DDB1	0	1
COPS7B	DDB1	0	1
CRBN	DDB1	0	1
CUL4A	DDB1	0	1
CUL4B	DDB1	0	1
DCAF10	DDB1	0	1
DCAF11	DDB1	0	1
DCAF12	DDB1	0	1
DCAF4	DDB1	0	1
DCAF5	DDB1	0	1
DCAF6	DDB1	0	1
DCAF8	DDB1	0	1
DDA1	DDB1	0	1
COPS5	DDB2	0	1
CUL4A	DDB2	0	1
CUL4B	DDB2	0	1
DDB1	DDB2	0	1
CEBPB	DDIT3	0	1
CDK5RAP3	DDRGK1	0	1
ALYREF	DDX39A	0	1
ALYREF	DDX39B	0	1
CYLD	DDX58	0	1
DCP1A	DDX6	0	1
CASP8	DEDD	0	1
CFLAR	DEDD	0	1
CASP8	DEDD2	0	1
CFLAR	DEDD2	0	1
DEDD	DEDD2	0	1
AMFR	DERL1	0	1
AMFR	DERL2	0	1
CUL4A	DET1	0	1
DDB1	DET1	0	1
DFFA	DFFB	0	1
AKAP8L	DHX9	0	1
BRCA1	DHX9	0	1
BIRC2	DIABLO	0	1
BIRC3	DIABLO	0	1
BIRC5	DIABLO	0	1
BIRC6	DIABLO	0	1
BIRC7	DIABLO	0	1
CASK	DLG1	0	1
APC	DLG3	0	1
CACNG2	DLG4	0	1
DLG1	DLGAP1	0	1
DLG4	DLGAP1	0	1
ACTL6A	DMAP1	0	1
BRD8	DMAP1	0	1
C20ORF20	DMAP1	0	1
CFTR	DNAJA1	0	1
CFTR	DNAJB1	0	1
AMPH	DNM1	0	1
CHEK1	DNMT1	0	1
CBX3	DNMT3B	0	1
CBX5	DNMT3B	0	1
DNMT1	DNMT3B	0	1
DNMT3A	DNMT3B	0	1
DNMT3A	DNMT3L	0	1
DNMT3B	DNMT3L	0	1
CRK	DOCK1	0	1
ABL1	DOK1	0	1
CHTF18	DSCC1	0	1
CBX5	DSN1	0	1
CDKN1A	DTL	0	1
CUL4A	DTL	0	1
CUL4B	DTL	0	1
DDB1	DTL	0	1
CKS1B	DUSP1	0	1
AXIN1	DVL1	0	1
BCL2L11	DYNLL1	0	1
DLGAP1	DYNLL1	0	1
BMF	DYNLL2	0	1
DLGAP1	DYNLL2	0	1
CCNA1	E2F1	0	1
C20ORF20	EAF1	0	1
DCP1A	EDC3	0	1
DCP1A	EDC4	0	1
DCP2	EDC4	0	1
AR	EGFR	0	1
CALM1	EGFR	0	1
CAV1	EGFR	0	1
CBL	EGFR	0	1
CBLB	EGFR	0	1
CBLC	EGFR	0	1
CRK	EGFR	0	1
CTNNB1	EGFR	0	1
CTNND1	EGFR	0	1
DCN	EGFR	0	1
EGF	EGFR	0	1
CBX1	EHMT2	0	1
CBX5	EHMT2	0	1
CDYL	EHMT2	0	1
CTBP1	EHMT2	0	1
CTBP2	EHMT2	0	1
DNAJC3	EIF2AK2	0	1
DICER1	EIF2C1	0	1
DDX20	EIF2C2	0	1
DICER1	EIF2C2	0	1
EIF2AK2	EIF2S1	0	1
EIF3A	EIF3B	0	1
EIF3A	EIF3D	0	1
EIF3A	EIF3E	0	1
EIF3D	EIF3E	0	1
EIF3A	EIF3F	0	1
EIF3B	EIF3F	0	1
EIF3B	EIF3G	0	1
EIF3A	EIF3H	0	1
EIF3B	EIF3H	0	1
EIF3F	EIF3H	0	1
EIF3A	EIF3I	0	1
EIF3B	EIF3I	0	1
EIF3A	EIF3L	0	1
EIF3K	EIF3L	0	1
EIF3F	EIF3M	0	1
EIF3H	EIF3M	0	1
EIF3H	EIF4A2	0	1
CASC3	EIF4A3	0	1
EIF3A	EIF4B	0	1
ANKHD1	EIF4E	0	1
EIF3B	EIF4E	0	1
EIF4A1	EIF4E	0	1
EIF4E	EIF4EBP1	0	1
EIF4E	EIF4EBP2	0	1
EIF4E	EIF4EBP3	0	1
EIF4A1	EIF4G1	0	1
EIF4A2	EIF4G1	0	1
EIF4E	EIF4G1	0	1
EIF3A	EIF4G2	0	1
EIF4A1	EIF4G2	0	1
EIF4A2	EIF4G2	0	1
EIF4E	EIF4G2	0	1
EAF1	ELL	0	1
EAF1	ELL2	0	1
DOCK1	ELMO1	0	1
DOCK2	ELMO1	0	1
ACTB	EMD	0	1
ACVRL1	ENG	0	1
ARRB2	ENG	0	1
AKT1	EP300	0	1
BRCA1	EP300	0	1
CARM1	EP300	0	1
CITED2	EP300	0	1
CREB1	EP300	0	1
CREBBP	EP300	0	1
CTBP1	EP300	0	1
EID1	EP300	0	1
CTNNB1	EP400	0	1
DMAP1	EP400	0	1
EGLN1	EPAS1	0	1
C20ORF20	EPC1	0	1
DMAP1	EPC1	0	1
C20ORF20	EPC2	0	1
EGFR	EPN1	0	1
CISH	EPOR	0	1
CRKL	EPOR	0	1
EPO	EPOR	0	1
AGFG1	EPS15	0	1
AP2A1	EPS15	0	1
AP2A2	EPS15	0	1
CRK	EPS15	0	1
EGFR	EPS15	0	1
ABI1	EPS8	0	1
BAIAP2	EPS8	0	1
CD44	ERBB2	0	1
CTNNB1	ERBB2	0	1
EGFR	ERBB2	0	1
ERBB2	ERBB2IP	0	1
EGFR	ERBB3	0	1
ERBB2	ERBB3	0	1
DLG4	ERBB4	0	1
ERBB2	ERBB4	0	1
ERBB3	ERBB4	0	1
CCNH	ERCC3	0	1
CDK7	ERCC3	0	1
ERCC2	ERCC3	0	1
ERCC1	ERCC4	0	1
ERCC3	ERCC5	0	1
ERCC6	ERCC8	0	1
EGFR	ERRFI1	0	1
ACTB	ESR1	0	1
ACTC1	ESR1	0	1
ACTR2	ESR1	0	1
ACTR3	ESR1	0	1
AHR	ESR1	0	1
ARG1	ESR1	0	1
BAG1	ESR1	0	1
BRCA1	ESR1	0	1
CCND1	ESR1	0	1
CDKN1A	ESR1	0	1
CEBPB	ESR1	0	1
CREBBP	ESR1	0	1
DAP3	ESR1	0	1
DDX17	ESR1	0	1
DDX3X	ESR1	0	1
DDX5	ESR1	0	1
DDX54	ESR1	0	1
EP300	ESR1	0	1
ESR1	ESR2	0	1
CREBBP	ETS1	0	1
DAXX	ETS1	0	1
CDK10	ETS2	0	1
CREBBP	ETS2	0	1
EP300	ETS2	0	1
APBB1	EVL	0	1
DLG4	EXOC4	0	1
EXOC3	EXOC4	0	1
EXOC4	EXOC7	0	1
EXOSC1	EXOSC10	0	1
EXOSC1	EXOSC2	0	1
EXOSC10	EXOSC2	0	1
DIS3	EXOSC3	0	1
EXOSC1	EXOSC3	0	1
EXOSC10	EXOSC3	0	1
EXOSC2	EXOSC3	0	1
EXOSC2	EXOSC4	0	1
EXOSC3	EXOSC4	0	1
EXOSC10	EXOSC5	0	1
EXOSC3	EXOSC5	0	1
EXOSC3	EXOSC6	0	1
EXOSC1	EXOSC7	0	1
EXOSC10	EXOSC7	0	1
EXOSC3	EXOSC7	0	1
EXOSC3	EXOSC8	0	1
EXOSC10	EXOSC9	0	1
EXOSC2	EXOSC9	0	1
EED	EZH1	0	1
CDK1	EZH2	0	1
CTNNB1	EZH2	0	1
DNMT1	EZH2	0	1
E2F6	EZH2	0	1
EED	EZH2	0	1
EZH1	EZH2	0	1
CASK	F11R	0	1
CASP10	FADD	0	1
CASP8	FADD	0	1
CFLAR	FADD	0	1
DEDD	FADD	0	1
CASP8	FAF1	0	1
AMFR	FAF2	0	1
BABAM1	FAM175A	0	1
BARD1	FAM175A	0	1
BRCA1	FAM175A	0	1
BRCC3	FAM175A	0	1
BRE	FAM175A	0	1
BABAM1	FAM175B	0	1
BRCC3	FAM175B	0	1
BRE	FAM175B	0	1
BLM	FANCA	0	1
BRCA1	FANCA	0	1
C17ORF70	FANCA	0	1
C19ORF40	FANCA	0	1
CDK1	FANCA	0	1
FANCA	FANCB	0	1
EIF2AK2	FANCC	0	1
FANCA	FANCC	0	1
BRCA1	FANCD2	0	1
BRCA2	FANCD2	0	1
FAN1	FANCD2	0	1
FANCA	FANCE	0	1
FANCC	FANCE	0	1
FANCD2	FANCE	0	1
FANCA	FANCF	0	1
FANCC	FANCF	0	1
FANCE	FANCF	0	1
BRCA2	FANCG	0	1
FANCA	FANCG	0	1
FANCB	FANCG	0	1
FANCC	FANCG	0	1
FANCE	FANCG	0	1
FANCF	FANCG	0	1
FANCD2	FANCI	0	1
C17ORF70	FANCL	0	1
FANCA	FANCL	0	1
FANCC	FANCL	0	1
FANCF	FANCL	0	1
FANCG	FANCL	0	1
BLM	FANCM	0	1
C17ORF70	FANCM	0	1
C19ORF40	FANCM	0	1
